Case,Activity,Timestamp,Complete Timestamp,Resource
1.0,Application Receipt,01-01-2025 08:22,2025-01-01 08:38:52,Loan Officer 1
,Document Verification,2025-01-01 08:45:38,2025-01-01 09:28:31,Legal Advisor 1
1.0,Credit Check,01.01.2025 10:38,2025-01-01 09:37:27,Loan Officer 1
,Risk Assessment,2025/01/01 10:38:29,2025-01-01 11:23:55,Risk Analyst 1
1.0,Collateral Evaluation,2025-01-01 11:26:06,,Appraiser 1
1.0,Approval Decision,2025-01-01 12:53:27,2025-01-01 13:18:24,Manager 1
1.0,Loan Agreement Preparation,2025-01-01 13:24:54,2025-01-01 14:03:08,Legal Advisor 1
1.0,Loan Disbursement,2025-01-01 14:09:01,2025-01-01 14:28:02,BANK TELLER 1
1.0,Case Closure,2025-01-01 14:36:08,2025-01-01 14:51:34,Loan Officer 1
2.0,Application Receipt,2025-01-01 08:39:35,2025-01-01 08:54:53,Loan Officer 1
2.0,Document Verification,2025-01-01 08:58:15,2025-01-01 09:31:16,Clerk 1
2.0,Credit Check,2025-01-01 09:39:44,2025-01-01 10:32:43,Credit Analyst 1
2.0,Risk Assessment,2025-01-01 10:38:45,2025-01-01 11:24:26,Risk Analyst 1
2.0,Colateral Evaluation,2025-01-01 12:29:30,,Appraiser 1
2.0,Approval Decision,,2025-01-01 12:58:44,Manager 1
2.0,Rejection Notification,2025-01-01 13:07:02,,Clerk 1
2.0,Case Closure,2025-01-01 13:25:51,2025-01-01 13:38:23,Loan Officer 1
3.0,Application Receipt,2025-01-01 08:50:30,2025-01-01 09:01:30,Loan Officer 1
3.0,Document Verification,2025-01-01 09:02:17,2025-01-01 09:32:41,Clerk 1
3.0,Credit Check,2025-01-01 09:35:28,2025-01-01 10:30:58,Credit Analyst 1
3.0,Risk Assessment,2025-01-01 10:37:20,2025-01-01 11:10:59,Risk Analyst 1
,Collateral Evaluation,2025-01-01 11:13:04,2025-01-01 12:57:31,Appraiser 1
3.0,Approval Decision,2025-01-01 13:00:11,2025-01-01 13:33:11,Clerk 1
,Loan Agreement Preparation,2025-01-01 13:39:16,2025-01-01 14:18:40,legal advisor 1
3.0,Loan Disbursement,,2025-01-01 14:39:59,Bank Teller 1
3.0,Case Closure,2025-01-01 14:43:47,,Loan Officer 1
